## CSV MS-Excel compatible file
## MACSPEC Mtable/writeCSV is source
SLIT,X1,X2,Y1,Y2,TARGTYPE,TARGNAME
0,368,388,330,334,USER,CLICK
1,351,366,341,345,USER,CLICK
2,302,322,356,360,USER,CLICK
3,396,416,329,333,USER,CLICK
4,488,508,313,317,USER,CLICK
5,547,567,308,312,USER,CLICK
6,602,622,306,310,USER,CLICK
7,452,472,319,323,USER,CLICK
8,659,679,308,312,USER,CLICK
9,272,292,363,367,USER,CLICK
10,234,254,369,373,USER,CLICK
11,190,210,376,380,USER,CLICK
12,157,177,375,379,USER,CLICK
13,717,737,308,312,USER,CLICK
14,768,788,307,311,USER,CLICK
